Date,Description,Deposits,Withdrawls,Balance
20-Aug-2020,Interest,00.00,"36,393.59","36,393.58"
20-Aug-2020,Debit Card,00.00,"4,043.73","32,349.85"
20-Aug-2020,Purchase,02.89,00.00,"32,352.74"
20-Aug-2020,Bill,63.00,00.00,"32,415.74"
20-Aug-2020,Interest,"76,769.60",00.00,"109,185.34"
20-Aug-2020,Bill,"94,207.31",00.00,"203,392.65"
20-Aug-2020,Transfer,00.00,"203,392.65",00.00
20-Aug-2020,Commission,39.73,00.00,39.73
20-Aug-2020,Tax,"89,652.00",00.00,"89,691.73"
20-Aug-2020,Cash,00.00,"44,845.87","44,845.86"
21-Aug-2020,NEFT,41.91,00.00,"44,887.77"
21-Aug-2020,Interest,00.00,"7,481.30","37,406.48"
21-Aug-2020,ATM,00.00,"5,343.78","32,062.70"
21-Aug-2020,Miscellaneous,"3,156.41",00.00,"35,219.11"
21-Aug-2020,Cash,"6,157.03",00.00,"41,376.14"
21-Aug-2020,Debit Card,00.00,"6,896.02","34,480.12"
21-Aug-2020,Transfer,"1,266.60",00.00,"35,746.72"
22-Aug-2020,Purchase,"208,917.44",00.00,"244,664.16"
22-Aug-2020,ATM,"23,265.40",00.00,"267,929.56"
22-Aug-2020,NEFT,00.00,"53,585.91","214,343.65"
22-Aug-2020,IMPS,00.00,"21,434.37","192,909.28"
22-Aug-2020,Miscellaneous,00.00,"27,558.47","165,350.81"
22-Aug-2020,Interest,00.00,"41,337.70","124,013.11"
22-Aug-2020,Commission,282.72,00.00,"124,295.83"
22-Aug-2020,Tax,02.00,00.00,"124,297.83"
22-Aug-2020,Transfer,00.00,"15,537.23","108,760.60"
22-Aug-2020,Cheque,"13,904.77",00.00,"122,665.37"
22-Aug-2020,Transfer,00.00,"122,665.37",00.00
22-Aug-2020,Reversal,"149,499.80",00.00,"149,499.80"
22-Aug-2020,Commission,"959,996.00",00.00,"1,109,495.80"
22-Aug-2020,Cash,00.00,"221,899.16","887,596.64"
22-Aug-2020,Cash,00.00,"126,799.52","760,797.12"
22-Aug-2020,Transfer,02.45,00.00,"760,799.57"
22-Aug-2020,Purchase,02.00,00.00,"760,801.57"
22-Aug-2020,Miscellaneous,00.00,"108,685.94","652,115.63"
22-Aug-2020,Debit Card,00.00,"65,211.56","586,904.07"
22-Aug-2020,Tax,"14,868.60",00.00,"601,772.67"
22-Aug-2020,Reversal,00.00,"300,886.34","300,886.34"
22-Aug-2020,Debit Card,"3,782.00",00.00,"304,668.34"
22-Aug-2020,Bill,"31,820.00",00.00,"336,488.34"
22-Aug-2020,Purchase,08.00,00.00,"336,496.34"
22-Aug-2020,IMPS,"193,149.69",00.00,"529,646.03"
22-Aug-2020,ATM,00.00,"529,646.03",00.00
22-Aug-2020,Miscellaneous,"3,339.42",00.00,"3,339.42"
22-Aug-2020,Reversal,00.00,477.06,"2,862.36"
22-Aug-2020,Reversal,"240,549.06",00.00,"243,411.42"
22-Aug-2020,Reversal,00.00,"34,773.06","208,638.36"
22-Aug-2020,Cash,00.00,"20,863.84","187,774.52"
22-Aug-2020,Transfer,00.00,"23,471.82","164,302.70"
22-Aug-2020,Purchase,33.01,00.00,"164,335.71"
22-Aug-2020,RTGS,00.00,"54,778.57","109,557.14"
22-Aug-2020,Transfer,00.00,"13,694.64","95,862.50"
22-Aug-2020,Reversal,03.80,00.00,"95,866.30"
22-Aug-2020,Interest,00.00,"9,586.63","86,279.67"
22-Aug-2020,Commission,00.00,"9,586.63","76,693.04"
22-Aug-2020,Transfer,00.00,"25,564.35","51,128.69"
22-Aug-2020,Cash,00.00,"17,042.90","34,085.79"
22-Aug-2020,Commission,"4,563.20",00.00,"38,648.99"
22-Aug-2020,Cash,00.00,"4,831.12","33,817.87"
22-Aug-2020,NEFT,00.00,"16,908.94","16,908.94"
22-Aug-2020,NEFT,04.00,00.00,"16,912.94"
22-Aug-2020,Bill,00.00,"1,691.29","15,221.65"
22-Aug-2020,IMPS,"3,258.60",00.00,"18,480.25"
22-Aug-2020,Miscellaneous,376.00,00.00,"18,856.25"
22-Aug-2020,Cheque,405.00,00.00,"19,261.25"
22-Aug-2020,Reversal,00.00,"1,926.13","17,335.12"
22-Aug-2020,NEFT,00.00,"2,166.89","15,168.23"
22-Aug-2020,Commission,00.00,"3,792.06","11,376.17"
22-Aug-2020,Transfer,301.20,00.00,"11,677.37"
22-Aug-2020,Reversal,00.00,"1,297.49","10,379.88"
22-Aug-2020,NEFT,12.00,00.00,"10,391.88"
22-Aug-2020,Miscellaneous,00.00,"1,484.55","8,907.33"
22-Aug-2020,Cash,361.00,00.00,"9,268.33"
22-Aug-2020,Commission,00.00,"1,853.67","7,414.66"
